"RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearExp","DoorType","StNo","HaulNo","Year","Month","Day","TimeShot","Stratum","HaulDur","DayNight","ShootLat","ShootLong","HaulLat","HaulLong","StatRec","Depth","HaulVal","HydroStNo","StdSpecRecCode","BycSpecRecCode","DataType","Netopening","Rigging","Tickler","Distance","Warplngt","Warpdia","WarpDen","DoorSurface","DoorWgt","DoorSpread","WingSpread","Buoyancy","KiteDim","WgtGroundRope","TowDir","GroundSpeed","SpeedWater","SurCurDir","SurCurSpeed","BotCurDir","BotCurSpeed","WindDir","WindSpeed","SwellDir","SwellHeight","SurTemp","BotTemp","SurSal","BotSal","ThermoCline","ThClineDepth","DateofCalculation"
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",88,29,2017,2,28,1030,"H4",60,"D",36.5188,-7.0577,36.5513,-7.0122,"02E2",456,"V",1,1,0,"R",1.9,NA,NA,5436,1150,24,NA,1.8,NA,112,22.5,NA,-9,NA,45,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,13.7,-9,36.48,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",102,31,2017,2,28,1514,"H5",60,"D",36.5455,-7.1257,36.4987,-7.108,"02E2",529,"V",1,1,0,"R",1.8,NA,NA,5438,1225,24,NA,1.8,NA,109,21.4,NA,-9,NA,167,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",84,30,2017,2,28,1310,"H4",60,"D",36.6433,-7.0415,36.5958,-7.0538,"02E2",493,"V",1,1,0,"R",1.8,NA,NA,5392,1175,24,NA,1.8,NA,109,21.5,NA,-9,NA,186,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",76,34,2017,3,1,1310,"H4",60,"D",36.7638,-7.1037,36.7958,-7.1497,"02E2",373,"V",1,1,0,"R",1.8,NA,NA,5423,950,24,NA,1.8,NA,110,22.2,NA,-9,NA,314,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.4,-9,36.47,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",79,35,2017,3,1,1522,"H4",60,"D",36.774,-7.2552,36.734,-7.2227,"02E2",489,"V",1,1,0,"R",1.7,NA,NA,5304,1175,24,NA,1.8,NA,112,21.9,NA,-9,NA,138,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,13.8,-9,36.5,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",72,32,2017,3,1,823,"H4",60,"D",36.8692,-7.3308,36.8473,-7.2753,"02E2",366,"V",1,1,0,"R",1.8,NA,NA,5499,950,24,NA,1.8,NA,108,21.5,NA,-9,NA,116,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,14.9,-9,36.56,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",53,10,2017,2,23,1458,"H3",60,"D",36.8965,-7.2657,36.921,-7.3203,"02E2",150,"V",1,1,0,"R",2,NA,NA,5568,450,24,NA,1.8,NA,91,20,NA,-9,NA,293,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.29,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",55,33,2017,3,1,1027,"H3",60,"D",36.9017,-7.1688,36.8747,-7.1173,"02E2",115,"V",1,1,0,"R",2.1,NA,NA,5473,450,24,NA,1.8,NA,88,19.1,NA,-9,NA,122,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.3,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",17,8,2017,2,23,1009,"H2",60,"D",36.9808,-7.2463,36.953,-7.193,"02E2",88,"V",1,1,0,"R",2,NA,NA,5656,325,24,NA,1.8,NA,82,18.2,NA,-9,NA,110,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.3,-9,36.29,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",16,9,2017,2,23,1303,"H2",60,"D",36.9838,-7.3318,36.9697,-7.2697,"02E2",99,"V",1,1,0,"R",2,NA,NA,5739,325,24,NA,1.8,NA,79,17.1,NA,-9,NA,101,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.4,-9,36.28,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",10,7,2017,2,23,822,"H2",60,"D",37.0307,-7.3377,37.0098,-7.2792,"03E2",70,"V",1,1,0,"R",2.1,NA,NA,5683,250,24,NA,1.8,NA,68,15.9,NA,-9,NA,110,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.3,-9,36.28,NA,NA,20200511
"HH","SP-ARSA",1,"SPA","29MO","BAK",200,NA,"T4",14,41,2017,3,3,817,"H2",60,"D",37.0065,-6.9862,37.0055,-6.9237,"03E3",47,"V",1,1,0,"R",2.4,NA,NA,5547,175,24,NA,1.8,NA,53,15.7,NA,-9,NA,91,3,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,15.3,-9,36.28,NA,NA,20200511
